name,artist,address,sponsor,lon,lat
Donna Marie,,,,-76.190796,36.923748
Maid For Life,,,,-76.205353,36.878101
Faith,,,,-76.206047,36.866787
1950s Fish Dish,,,,-76.29512,36.871475
By the Stars,,,,-76.301544,36.863968
Courtney,Georgia Mason,253 West Bute St,Taylor associates,-76.292412,36.852833
Dominique,John Hickey,999 Waterside Drive,Equity Office Properties/Dominion Tower,-76.287613,36.843376
Low Tide,,,,-76.294296,36.851948
USS Wisconsin,,,,-76.2911,36.844303
Ocean Patina,Cindy Graf,333 Waterside Drive,American Rover/Waterside Marina,-76.292931,36.844406
Scales Of Justice,,,,-76.293686,36.846443
Karen,,1 Waterside Drive,Festevents,-76.294151,36.846798
Ships Ahoy,Chris Alexander,236 E. Plume St.,Hampton Roads Shipping Association,-76.290337,36.847
Flower Garden,,,,-76.292488,36.849594
Gran Bea,Chris Alexander,430 Boush St.,Marathon Development Group,-76.290512,36.85268
Mirror Mosaic,,,,-76.290993,36.852539
Oceana,,,,-76.290482,36.852737
Gem From the Sea,Cynthia Graf,City Hall Ave. & Granby St.,General Service Administration,-76.291298,36.847996
Full Circle,Gayle Hinkley,Plume St. & Commercial Place,IDA,-76.289749,36.849064
Jestacular,,,,-76.292168,36.846775
Maid in Voyage,,,,-76.292137,36.846859
The Jewel of Norfolk,Bess Decker,109 East Main Street,"Decker, Cardon, Weintraub, and Neskis",-76.291985,36.845726
Lola,Wendy Farman,College Drive and College,Maury High School,-76.293327,36.845306
Mei Madeline,Nancy Cockman,Tazewell St. & Brooke Ave.,Evergreen American Corporation,-76.29509,36.849903
Princess Azalea,Bess Decker,1 Waterside Drive,"Peter Decker, Jr. & Howard Webb",-76.294357,36.847481
Flight,Ken Wright,355 West Freemason,Shriver & Holland Associates,-76.295563,36.851723
Gliding Through the Bay,,,,-76.26635,36.95789
Mujeres del Mar,Paul Baker,Yarmouth & Freemason,The Rosemyr Corp,-76.293587,36.85223
Blue Mirror Mermaid,,,,-76.250778,36.952656
Sirena At Play In Willoughby,,,,-76.251556,36.953228
Nautical Mermaid,,,,-76.26088,36.960022
A Rising Community,,,,-76.243034,36.948742
Mirror Mosaic,,,,-76.233856,36.943249
Maid For the Fleet,,,,-76.309021,36.947659
Nora Folk,,,,-76.29232,36.855995
Jester Mermaid,,,,-76.287636,36.856167
Jewel the Bar Maiden,,,,-76.294785,36.883816
Lea Pard,,,,-76.303131,36.890614
Tiger Wood,,,,-76.277672,36.876785
Sirene de Mission,,,,-76.280075,36.898182
Miss Liberty,,,,-76.240463,36.854759
Liquid Energy,,,,-76.241753,36.857101
A School of Fish,,,,-76.263725,36.888458
Miss NATO,,,,-76.266884,36.888168
Palace Prince Beatrice,,,,-76.288933,36.86858
Sea Shimmer,,,,-76.300262,36.872688
Moo Maid,,,,-76.284775,36.865089
Miss Virginia Vine,,,,-76.28476,36.865154
Seasonal Mermaid,,,,-76.199898,36.901356
Evie,,,,-76.252556,36.916618
Music Mosaic,,,,-76.289383,36.850147
Shamrock,,,,-76.272659,36.913792
Ms. Literacy,Deborah T. Small,,The Virginian-Pilot,-76.289467,36.854362
Siren,,,,-76.27317,36.912941
Toga,,,,-76.283646,36.832867
Williams' School Mermaid,,,,-76.296906,36.857803
MHI Mermaid,,,,-76.308815,36.863579
Miss Definitely Downtown,Chris Alexander,City Hall Ave. & Granby St.,Downtown Norfolk Council,-76.291367,36.848019
Her Favorite Port,,,,-76.296829,36.838955
Aubrica,,,,-76.203079,36.855148
Techno Mermaid,,,,-76.292236,36.85535
Silver Mermaid,,,,-76.30143,36.872555
Mermaid de Leche,,,,-76.290329,36.850315
By the Sea,,,,-76.289291,36.843616
Elizabeth,,,,-76.232971,36.852997
Reflections of the Soul,,,,-76.304413,36.903358
Thumbelina,,,,-76.30455,36.868771
Ocarina,,,,-76.074142,36.903152
Plated Mermaid,Ed Gibbs,College Drive and Granby St.,Tiderwater Community College,-76.290581,36.850117
Hope,,,,-76.206184,36.866604
Lady of Little Creek,,,,-76.19175,36.916744
Sukey's Mermaid,,,,-76.193115,36.872814
Rainbow,,,,-76.129883,36.832458
Accedental Tourist,,,,-76.224052,36.938911
Fresh From the Sea,,,,-76.101318,36.813457
Candy Bar/ Go Diva,Ben Teague,300 Monticello Ave,H. Blount Hunter Retail & Real Estate Research Co.,-76.288292,36.848656
Horizons,,,,-76.095375,36.861519
She Sells Sea Shells,,,,-76.020332,37.267139
Mirror Mosaic II,,,,-76.020287,37.267136
Celebrating The Arts,,,,-76.017578,37.267544
Healing Hands Mosaic,,,,-76.026825,36.85236
Mer-Majesty,,,,-75.933937,36.718895
MerMax II,,,,-76.13221,36.843868
Star,,,,-76.26265,36.936646
Garden Tempest,,,,-76.059853,36.912777
Picasso's Beauty,,,,-76.213715,36.837528
"Norfolk, Gateway to the Sea",,,,-76.217842,36.886162
Beauty of the Sea,,,,-76.210342,36.853172
Mermaid of Justice,,,,-76.286369,36.845287
Carousel-Ann,John Moore Reed,810 Union Street,Roper Morgan Group/Burkhard Thomas,-76.28598869,36.84419028
Norrie Folk,Georgia Mason,810 Union Street,City of Norfolk,-76.28598869,36.84419028
Jealous Mistress,Joscelyn L. Rivers,500 Main St.,"Protogyrou and Rigney, PLC",-76.288217,36.845808
KaleidoScope,Kevin Gallop,Brambleton & St. Pauls Blvd,Scope,-76.285929,36.853716
